Prod_year,Engine_volume,Mileage,Cylinders,Airbags,Manufacturer,Model,Category,Fuel_type,Gear_box_type,Drive_wheels,Doors,Color,Leather_interior,Wheel,Turbo
2012,3.2,1000.0,6.0,4,MERCEDES-BENZ,Sprinter,Microbus,Diesel,Manual,Rear,04-May,White,Yes,Left wheel,False
2004,2.4,175000.0,4.0,0,HONDA,Cr-v,Jeep,Petrol,Automatic,4x4,04-May,Grey,No,Left wheel,False
2008,2.5,256000.0,4.0,12,FORD,Escape,Jeep,Hybrid,Automatic,4x4,04-May,Sky blue,Yes,Left wheel,False
2018,2.5,127515.0,4.0,12,TOYOTA,Camry,Sedan,Hybrid,Automatic,Front,04-May,Black,Yes,Left wheel,False
2013,1.6,166013.0,4.0,0,NISSAN,Juke,Jeep,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2015,2.0,164698.0,4.0,4,JEEP,Cherokee,Jeep,Diesel,Automatic,Front,04-May,Beige,Yes,Left wheel,False
2016,2.5,67429.0,4.0,12,TOYOTA,Camry,Sedan,Hybrid,Automatic,Front,04-May,Golden,Yes,Left wheel,False
2014,2.4,140885.0,4.0,12,HYUNDAI,Sonata,Sedan,Petrol,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2015,2.0,609333.0,4.0,4,HYUNDAI,Sonata,Sedan,LPG,Automatic,Front,04-May,Orange,Yes,Left wheel,False
2002,1.5,147000.0,4.0,0,SUBARU,Impreza,Hatchback,Petrol,Automatic,Front,04-May,Blue,No,Right-hand drive,False
2014,3.0,98803.0,6.0,0,AUDI,Q7,Jeep,Diesel,Automatic,4x4,04-May,Grey,Yes,Left wheel,False
2017,4.6,69918.0,8.0,0,LEXUS,GX 460,Jeep,Petrol,Automatic,4x4,04-May,White,Yes,Left wheel,False
2015,2.0,309174.0,4.0,4,HYUNDAI,Sonata,Sedan,LPG,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2018,2.0,74146.0,4.0,12,TOYOTA,CHR,Jeep,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2011,2.5,124444.0,4.0,4,HYUNDAI,H1,Minivan,Diesel,Automatic,Front,04-May,Yellow,Yes,Left wheel,False
2006,1.5,139000.0,4.0,6,NISSAN,Tiida AXIS,Hatchback,Petrol,Variator,Front,04-May,Black,Yes,Right-hand drive,False
2010,2.2,61146.0,4.0,4,HYUNDAI,Santa FE,Jeep,Diesel,Automatic,Front,04-May,White,Yes,Left wheel,False
2015,1.6,211643.0,4.0,12,HYUNDAI,Accent,Sedan,Petrol,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2012,1.8,81250.0,4.0,12,HYUNDAI,Elantra,Sedan,Petrol,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2018,2.0,50310.0,4.0,4,HYUNDAI,Sonata,Sedan,Petrol,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2017,2.0,342961.0,4.0,4,HYUNDAI,Sonata,Jeep,LPG,Automatic,Front,04-May,Orange,Yes,Left wheel,False
2012,1.8,156800.0,4.0,12,MERCEDES-BENZ,C 250,Sedan,Petrol,Automatic,Rear,04-May,White,Yes,Left wheel,True
2012,1.4,239000.0,4.0,6,CHEVROLET,Volt,Sedan,Plug-in Hybrid,Automatic,Front,04-May,Black,Yes,Left wheel,False
2014,2.4,73825.0,4.0,8,HYUNDAI,Sonata Limited,Sedan,Hybrid,Automatic,Front,04-May,Black,Yes,Left wheel,False
2013,3.0,168395.0,6.0,12,BMW,X5,Jeep,Petrol,Automatic,4x4,04-May,Black,Yes,Left wheel,False
2016,1.7,96618.0,4.0,4,HYUNDAI,Tucson,Jeep,Diesel,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2008,3.3,334414.0,6.0,12,TOYOTA,Highlander,Jeep,Hybrid,Automatic,4x4,04-May,White,Yes,Left wheel,False
2012,2.0,116928.0,4.0,8,KIA,Optima HYBRID,Sedan,Hybrid,Automatic,Front,04-May,Black,No,Left wheel,False
